id,name,symbol,weight
145,Sysco Corporation,SYY,0.162614
146,BB&T Corporation,BBT,0.161069
147,Progressive Corporation,PGR,0.160494
148,Valero Energy Corporation,VLO,0.159408
149,Bank of New York Mellon Corporation,BK,0.159107
150,EOG Resources Inc.,EOG,0.159009
151,Ross Stores Inc.,ROST,0.158646
152,Humana Inc.,HUM,0.157139
153,Analog Devices Inc.,ADI,0.156315
154,Sempra Energy,SRE,0.156194
155,Aflac Incorporated,AFL,0.156118
156,Lam Research Corporation,LRCX,0.155424
157,Baxter International Inc.,BAX,0.155369
158,Kinder Morgan Inc Class P,KMI,0.153429
159,Dow Inc.,DOW,0.148845
160,MetLife Inc.,MET,0.147764
161,Advanced Micro Devices Inc.,AMD,0.146133
162,Welltower Inc.,WELL,0.145596
163,Prudential Financial Inc.,PRU,0.145330
164,Eaton Corp. Plc,ETN,0.145124
165,FedEx Corporation,FDX,0.144533
166,Occidental Petroleum Corporation,OXY,0.143311
167,Moody's Corporation,MCO,0.142427
168,HCA Healthcare Inc,HCA,0.140556
169,Allstate Corporation,ALL,0.138984
170,Roper Technologies Inc.,ROP,0.138710
171,Marriott International Inc. Class A,MAR,0.137225
172,Johnson Controls International plc,JCI,0.136700
173,Travelers Companies Inc.,TRV,0.135772
174,Cognizant Technology Solutions Corporation Class A,CTSH,0.133533
175,Ford Motor Company,F,0.133451
176,O'Reilly Automotive Inc.,ORLY,0.132209
177,Xcel Energy Inc.,XEL,0.132126
178,Public Storage,PSA,0.131882
179,Newmont Goldcorp Corporation,NEM,0.128699
180,Autodesk Inc.,ADSK,0.128328
181,Delta Air Lines Inc.,DAL,0.126463
182,Public Service Enterprise Group Inc,PEG,0.126210
183,Constellation Brands Inc. Class A,STZ,0.126156
184,Yum! Brands Inc.,YUM,0.122906
185,Equity Residential,EQR,0.122621
186,Consolidated Edison Inc.,ED,0.121539
187,Ingersoll-Rand Plc,IR,0.121366
188,General Mills Inc.,GIS,0.120734
189,AvalonBay Communities Inc.,AVB,0.120318
190,TE Connectivity Ltd.,TEL,0.119519
191,SunTrust Banks Inc.,STI,0.119447
192,Amphenol Corporation Class A,APH,0.118819
193,WEC Energy Group Inc,WEC,0.117415
194,PPG Industries Inc.,PPG,0.117106
195,ONEOK Inc.,OKE,0.113904
196,Electronic Arts Inc.,EA,0.112689
197,Zimmer Biomet Holdings Inc.,ZBH,0.111445
198,IHS Markit Ltd.,INFO,0.111426
199,AutoZone Inc.,AZO,0.111296
200,Hilton Worldwide Holdings Inc,HLT,0.110326
201,eBay Inc.,EBAY,0.110270
202,Motorola Solutions Inc.,MSI,0.108648
203,T. Rowe Price Group,TROW,0.108559
204,Cummins Inc.,CMI,0.107973
205,Southwest Airlines Co.,LUV,0.107710
206,SBA Communications Corp. Class A,SBAC,0.107650
207,KLA Corporation,KLAC,0.106775
208,Eversource Energy,ES,0.106607
209,Williams Companies Inc.,WMB,0.106548
210,V.F. Corporation,VFC,0.105908
211,Paychex Inc.,PAYX,0.105568
212,IQVIA Holdings Inc,IQV,0.104386
213,Digital Realty Trust Inc.,DLR,0.104129
214,PACCAR Inc,PCAR,0.103785
215,TransDigm Group Incorporated,TDG,0.103652
216,Dollar Tree Inc.,DLTR,0.103630
217,FirstEnergy Corp.,FE,0.103520
218,T-Mobile US Inc.,TMUS,0.103256
219,HP Inc.,HPQ,0.102125
220,Realty Income Corporation,O,0.102092
221,Discover Financial Services,DFS,0.101335
222,FleetCor Technologies Inc.,FLT,0.100291
223,State Street Corporation,STT,0.097735
224,McKesson Corporation,MCK,0.097567
225,Regeneron Pharmaceuticals Inc.,REGN,0.097096
226,IDEXX Laboratories Inc.,IDXX,0.096852
227,Tyson Foods Inc. Class A,TSN,0.096770
228,Entergy Corporation,ETR,0.095829
229,PPL Corporation,PPL,0.095826
230,Ventas Inc.,VTR,0.095344
231,Willis Towers Watson Public Limited Company,WLTW,0.095157
232,Verisk Analytics Inc,VRSK,0.093593
233,Alexion Pharmaceuticals Inc.,ALXN,0.093399
234,Parker-Hannifin Corporation,PH,0.093301
235,Agilent Technologies Inc.,A,0.093004
236,Archer-Daniels-Midland Company,ADM,0.092988
237,DTE Energy Company,DTE,0.092188
238,Ball Corporation,BLL,0.092147
239,Corning Inc,GLW,0.091931
240,Twitter Inc.,TWTR,0.091915
241,LyondellBasell Industries NV,LYB,0.091868
242,Xilinx Inc.,XLNX,0.091057
243,Aptiv PLC,APTV,0.090999
244,Stanley Black & Decker Inc.,SWK,0.090615
245,Edison International,EIX,0.089363
246,Cintas Corporation,CTAS,0.088466
247,Microchip Technology Incorporated,MCHP,0.088127
248,American Water Works Company Inc.,AWK,0.088003
249,Hershey Company,HSY,0.086801
250,Centene Corporation,CNC,0.086501
251,Monster Beverage Corporation,MNST,0.086134
252,Weyerhaeuser Company,WY,0.085802
253,Synchrony Financial,SYF,0.085653
254,Hewlett Packard Enterprise Co.,HPE,0.085002
255,Northern Trust Corporation,NTRS,0.084965
256,Essex Property Trust Inc.,ESS,0.084877
257,Cerner Corporation,CERN,0.084769
258,Las Vegas Sands Corp.,LVS,0.084039
259,Fifth Third Bancorp,FITB,0.083831
260,ResMed Inc.,RMD,0.083582
261,M&T Bank Corporation,MTB,0.083018
262,AMETEK Inc.,AME,0.082283
263,Pioneer Natural Resources Company,PXD,0.081886
264,Hartford Financial Services Group Inc.,HIG,0.081543
265,Fastenal Company,FAST,0.081221
266,Fortive Corp.,FTV,0.080677
267,Synopsys Inc.,SNPS,0.080113
